Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C2, C3, C4, C5, C6, C8, C9",C_Disc_D5.0mm_W2.5mm_P5.00mm,11,0.1u,
C7,CP_Radial_D5.0mm_P2.50mm,1,10u,
"D1, D2, D3, D4, D5, D6, D7, D8",LED_D5.0mm,8,LED_Dual_Bidirectional,
J1,PinHeader_1x40_P2.54mm_Vertical,1,Conn_01x40_Pin,
J2,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
J3,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
J4,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14_Pin,
"J5, J6",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
"JP1, JP2",PinHeader_1x02_P2.54mm_Vertical,2,Jumper_2_Small_Open,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,1k,
"R10, R11, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,10k,
"RN1, RN10, RN11, RN2, RN3, RN4, RN5, RN6, RN8, RN9",R_Array_SIP5,10,10k,
"U1, U11, U15, U17, U19, U21, U3, U5, U7, U9",DIP-16_W7.62mm_LongPads,10,MC14495P,
"U10, U12, U16, U18, U2, U20, U22, U4, U6, U8",D1X8K,10,OSL10561-Lx,
U13,DIP-20_W7.62mm_LongPads,1,74LS573,
