Designator,Mid X,Mid Y,Rotation,Layer
C1,5.08,67.35,270.0,top
C10,92.075,51.475,270.0,top
C11,119.38,51.475,270.0,top
C12,45.085,27.305,90.0,top
C2,31.75,67.35,270.0,top
C3,58.42,67.31,270.0,top
C4,5.08,51.475,270.0,top
C5,31.115,51.475,270.0,top
C6,57.785,51.435,270.0,top
C7,7.595112,12.065,0.0,top
C8,92.075,66.675,270.0,top
C9,119.38,66.715,270.0,top
D1,140.34,33.655,0.0,top
D2,133.35,33.655,0.0,top
D3,126.37,33.655,0.0,top
D4,119.385,33.655,0.0,top
D5,107.955,33.655,0.0,top
D6,100.97,33.655,0.0,top
D7,93.985,33.655,0.0,top
D8,87.0,33.655,0.0,top
J1,57.145,3.81,90.0,top
J2,133.345,8.89,90.0,top
J3,61.585,13.335,90.0,top
J4,128.26,3.81,90.0,top
J5,27.29,32.385,90.0,top
J6,13.32,32.385,90.0,top
JP1,31.75,24.765,90.0,top
JP12,131.445,24.115,180.0,top
JP13,123.825,24.115,180.0,top
JP14,116.205,24.115,180.0,top
JP15,106.68,24.115,180.0,top
JP16,99.06,24.115,180.0,top
JP17,91.44,24.115,180.0,top
JP18,83.82,24.115,180.0,top
JP2,8.895,24.765,90.0,top
JP7,139.065,24.115,180.0,top
R1,142.875,24.765,90.0,top
R10,18.415,15.875,90.0,top
R11,80.01,13.335,0.0,top
R2,135.255,24.765,90.0,top
R3,127.635,24.765,90.0,top
R4,120.015,24.765,90.0,top
R5,110.49,24.765,90.0,top
R6,102.87,24.765,90.0,top
R7,95.25,24.765,90.0,top
R8,87.63,24.765,90.0,top
R9,32.385,15.875,90.0,top
RN1,21.59,59.69,0.0,top
RN10,108.605,43.18,0.0,top
RN11,135.91,43.18,0.0,top
RN2,48.26,59.69,0.0,top
RN3,74.95,59.69,0.0,top
RN4,21.59,43.815,0.0,top
RN5,47.645,43.815,0.0,top
RN6,74.315,43.815,0.0,top
RN8,108.605,59.055,0.0,top
RN9,135.91,59.055,0.0,top
U1,17.765,67.325,90.0,top
U10,66.675,88.02,90.0,top
U11,70.47,51.45,90.0,top
U12,80.01,88.1425,90.0,top
U13,60.32,27.955,90.0,top
U15,104.76,66.69,90.0,top
U16,100.965,88.1425,90.0,top
U17,132.065,66.69,90.0,top
U18,114.3,88.1425,90.0,top
U19,104.76,51.45,90.0,top
U2,13.335,88.1425,90.0,top
U20,128.905,88.02,90.0,top
U21,132.065,51.45,90.0,top
U22,142.24,88.1425,90.0,top
U3,44.45,67.335,90.0,top
U4,26.67,88.02,90.0,top
U5,71.105,67.325,90.0,top
U6,40.005,88.1425,90.0,top
U7,17.765,51.45,90.0,top
U8,53.34,88.02,90.0,top
U9,43.815,51.46,90.0,top
