Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6",C_Disc_D5.0mm_W2.5mm_P2.50mm,6,0.1u,
"C7, C8",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,0.01u,
C9,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,1.5u,
D1,LED_D5.0mm,1,LED,
"J1, J2",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,
"J10, J11, J12, J13, J9",PinHeader_1x14_P2.54mm_Vertical,5,Conn_01x14_Pin,
J14,MJ-179PH,1,DC Jack MJ-179PH,
"J15, J16, J17, J18, J19",PinHeader_1x10_P2.54mm_Vertical,5,Conn_01x10_Pin,
J3,PinHeader_1x40_P2.54mm_Vertical,1,SLOT 1,
J4,PinHeader_1x40_P2.54mm_Vertical,1,SLOT 2,
J5,PinHeader_1x40_P2.54mm_Vertical,1,SLOT 3,
J6,PinHeader_1x40_P2.54mm_Vertical,1,SLOT 4,
J7,PinHeader_1x40_P2.54mm_Vertical,1,SLOT 5,
J8,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4k7,
"R2, R3, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,1k,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,2k2,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1M,
RV1,Potentiometer_Bourns_3296W_Vertical,1,1M,
"SW1, SW2",8MSP0340,2,SW_Push_SPDT 8MS8P1B05VS2QES,
SW3,2MS1T1B4M7QES,1,SW_SPDT_321 2MS1T1B4M7QES,
U1,DIP-14_W7.62mm_LongPads,1,NE556,
