Designator,Mid X,Mid Y,Rotation,Layer
C1,17.145,74.95,270.0,top
C2,40.005,74.95,270.0,top
C3,62.865,74.93,270.0,top
C4,85.725,74.93,270.0,top
C5,108.585,74.93,270.0,top
C6,110.49,120.63,90.0,top
C7,127.635,107.95,270.0,top
C8,110.49,111.76,270.0,top
C9,110.49,99.695,90.0,top
D1,116.21,7.62,0.0,top
J1,9.525,36.83,0.0,top
J10,35.56,194.3,180.0,top
J11,58.42,194.3,180.0,top
J12,81.28,194.3,180.0,top
J13,104.14,194.3,180.0,top
J14,122.555,47.625,180.0,top
J15,15.24,199.385,180.0,top
J16,38.1,199.385,180.0,top
J17,60.96,199.385,180.0,top
J18,83.82,199.385,180.0,top
J19,106.68,199.385,180.0,top
J2,104.775,36.83,0.0,top
J3,12.7,123.185,180.0,top
J4,35.56,123.185,180.0,top
J5,58.42,123.185,180.0,top
J6,81.28,123.185,180.0,top
J7,104.14,123.185,180.0,top
J8,124.79,67.315,90.0,top
J9,12.7,194.3,180.0,top
R1,121.92,90.805,270.0,top
R2,110.49,130.175,90.0,top
R3,127.635,99.06,270.0,top
R4,119.38,124.46,180.0,top
R5,127.635,116.84,270.0,top
R6,118.11,16.51,180.0,top
RV1,119.39,129.54,180.0,top
SW1,120.6754,81.3054,0.0,top
SW2,120.6246,29.1846,180.0,top
SW3,107.95,10.16,90.0,top
U1,119.395,112.39,0.0,top
