Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_Every_0,
BT1,CH243-2032LF,1,CR2032,
"C1, C10, C11, C12, C13, C14, C2, C3, C4, C5, C6, C7, C8, C9",C_Disc_D5.0mm_W2.5mm_P5.00mm,14,0.1u,
C15,CP_Radial_D5.0mm_P2.50mm,1,10u,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,BAT43,
D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,1S4,
"IC1, IC2",PLCC-52_THT-Socket,2,7134SA55JG8,
J1,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09,
J3,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
J4,PinHeader_1x40_P2.54mm_Vertical,1,Conn_01x40_Pin,
J5,PinHeader_1x14_P2.54mm_Vertical,1,Conn_01x14_Pin,
"J6, J7",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,STEMMA_I2C_QT,
"R1, R2, R3, R4, R5, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,7,10k,
RN1,R_Array_SIP9,1,10k,
SW1,PinHeader_1x03_P2.54mm_Vertical,1,SW_SPDT_321,
"U1, U2, U3, U6",DIP-16_W7.62mm_LongPads,4,74LS157,
"U10, U11, U12, U4, U5",SOT-23-6,5,SN74LVC1G97,
U7,DIP-16_W7.62mm_LongPads,1,MAX695,
"U8, U9",DIP-28_W7.62mm_LongPads,2,MCP23017_SP,
