Designator,Mid X,Mid Y,Rotation,Layer
A1,123.19,66.03,90.0,top
BT1,14.785,33.1,90.0,top
C1,24.5,21.5,270.0,top
C10,51.5,40.5,270.0,top
C11,64.5,40.5,270.0,top
C12,77.0,40.5,270.0,top
C13,38.0,81.28,0.0,top
C14,82.5,81.28,0.0,top
C15,14.205112,12.7,0.0,top
C2,53.34,21.5,270.0,top
C3,83.0,21.5,270.0,top
C4,115.5,40.0,270.0,top
C5,129.0,40.0,270.0,top
C6,117.475,21.5,270.0,top
C7,34.0,34.0,0.0,top
C8,98.0,85.0,0.0,top
C9,53.5,85.0,0.0,top
D1,149.225,66.675,90.0,top
D2,107.95,78.105,0.0,top
IC1,30.48,66.04,0.0,top
IC2,74.93,66.04,0.0,top
J1,141.595,83.185,90.0,top
J3,133.345,6.35,90.0,top
J4,57.145,3.81,90.0,top
J5,128.26,3.81,90.0,top
J6,148.875,30.48,270.0,top
J7,148.875,42.545,270.0,top
R1,105.31,42.5,180.0,top
R2,118.11,106.045,0.0,top
R3,73.66,106.045,0.0,top
R4,118.11,102.87,0.0,top
R5,73.66,102.87,0.0,top
R6,118.11,99.695,0.0,top
R7,73.66,99.695,0.0,top
RN1,116.855,53.34,0.0,top
SW1,94.0,41.0,0.0,top
U1,36.83,21.59,90.0,top
U10,57.6675,40.31,270.0,top
U11,70.5,40.31,270.0,top
U12,83.0675,40.31,270.0,top
U2,66.04,21.59,90.0,top
U3,95.25,21.59,90.0,top
U4,121.5,40.1375,270.0,top
U5,134.935,40.1375,270.0,top
U6,130.16,21.605,90.0,top
U7,36.83,41.275,90.0,top
U8,92.7,92.09,90.0,top
U9,48.25,92.09,90.0,top
