Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C2, C3, C4, C5, C6, C7, C9",C_Disc_D5.0mm_W2.5mm_P5.00mm,14,0.1u,
C8,CP_Radial_D5.0mm_P2.50mm,1,10u,
"D1, D3",D_DO-35_SOD27_P7.62mm_Horizontal,2,BAT43,
"D4, D5",LED_D3.0mm,2,LED,
J1,PinHeader_1x40_P2.54mm_Vertical,1,CN1,
J2,PinHeader_1x08_P2.54mm_Vertical,1,CN2,
J3,PinHeader_1x14_P2.54mm_Vertical,1,CN3,
J4,PinHeader_2x08_P2.54mm_Vertical,1,Reset Vector (MSByte),
J5,PinHeader_2x08_P2.54mm_Vertical,1,Reset Vector (LSByte),
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,330,
"R10, R11, R12, R13, R14, R16, R17, R2, R4, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,13,10k,
"R15, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,2k2,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,51,
"RN1, RN2",R_Array_SIP9,2,10k,
U1,DIP-42_W15.24mm_LongPads,1,MN1613A,
"U10, U11",DIP-20_W7.62mm_LongPads,2,74HCT541,
U12,DIP-24_W7.62mm_LongPads,1,ATF22V10,
"U13, U14",DIP-24_W15.24mm_LongPads,2,AT28C16,
U2,DIP-8_W7.62mm_LongPads,1,DS1232,
"U3, U4",DIP-20_W7.62mm_LongPads,2,74HCT245,
"U5, U6, U7",DIP-20_W7.62mm_LongPads,3,74HCT573,
U8,DIP-16_W7.62mm_LongPads,1,74HCT139,
U9,DIP-14_W7.62mm_LongPads,1,74HCT125,
X1,Oscillator_SeikoEpson_SG-8002DC,1,SG-8002DC,
