Designator,Mid X,Mid Y,Rotation,Layer
C1,48.26,97.79,90.0,top
C10,113.03,75.565,270.0,top
C11,79.375,98.425,90.0,top
C12,115.575,44.43,90.0,top
C13,115.575,22.245,90.0,top
C14,6.35,17.82,90.0,top
C15,42.545,73.7,270.0,top
C2,6.35,74.93,270.0,top
C3,6.35,55.88,270.0,top
C4,6.35,36.87,270.0,top
C5,49.53,41.91,90.0,top
C6,46.355,17.145,270.0,top
C7,80.645,17.145,270.0,top
C8,5.080012,8.89,0.0,top
C9,113.03,103.505,270.0,top
D1,62.865,62.23,270.0,top
D3,57.785,59.055,270.0,top
D4,99.695,85.09,180.0,top
D5,80.005,85.09,180.0,top
J1,59.685,5.08,90.0,top
J2,149.86,95.265,0.0,top
J3,130.8,5.08,90.0,top
J4,130.16,88.27,90.0,top
J5,130.16,60.33,90.0,top
R1,60.325,62.23,270.0,top
R10,103.505,62.23,270.0,top
R11,106.045,62.23,270.0,top
R12,98.425,62.23,270.0,top
R13,80.645,59.69,270.0,top
R14,83.185,62.23,270.0,top
R15,74.93,87.63,90.0,top
R16,68.58,106.68,180.0,top
R17,45.72,26.67,180.0,top
R2,45.72,33.02,0.0,top
R3,54.61,73.025,180.0,top
R4,85.725,62.23,270.0,top
R5,91.44,84.455,180.0,top
R6,88.265,62.23,270.0,top
R7,90.805,62.23,270.0,top
R8,93.345,62.23,270.0,top
R9,95.885,62.23,270.0,top
RN1,128.92,95.885,0.0,top
RN2,128.92,67.945,0.0,top
U1,80.645,41.89,90.0,top
U10,130.17,104.155,90.0,top
U11,130.17,76.215,90.0,top
U12,25.405,17.795,90.0,top
U13,135.26,44.43,90.0,top
U14,135.26,22.205,90.0,top
U2,71.755,76.215,90.0,top
U3,63.495,17.795,90.0,top
U4,97.785,17.795,90.0,top
U5,23.495,74.945,90.0,top
U6,23.49,55.895,90.0,top
U7,23.49,36.845,90.0,top
U8,93.98,97.805,90.0,top
U9,62.235,97.805,90.0,top
X1,46.355,64.095,90.0,top
